Volume %,temperature
1,-0.5
2,36.1
3,49.2
4,68.7
5,76.7
6,91.8
7,99.2
8,103.5
9,119.4
10,125.7
11,135
12,140.6
13,169.4
14,175.5
15,182.3
16,188.6
17,193.9
18,199.4
19,205
20,210.5
21,214.6
22,219
23,224
24,228.5
25,232.8
26,237.4
27,242
28,246.2
29,250.2
30,253.9
31,257.9
32,261.6
33,265.4
34,268.8
35,272.6
36,276.2
37,279.9
38,283.4
39,286.8
40,290.1
41,293.2
42,296.5
43,299.4
44,302.5
45,305.4
46,308.4
47,311.5
48,314.2
49,317
50,320
51,323
52,326
53,328.8
54,331.8
55,334.8
56,337.8
57,340.7
58,343.7
59,346.5
60,349.5
61,352.3
62,355.1
63,358.1
64,361
65,363.9
66,366.8
67,369.7
68,372.8
69,375.8
70,378.9
71,382.1
72,385.3
73,388.5
74,391.8
75,395.1
76,398.5
77,401.9
78,405.3
79,408.7
80,412.2
81,415.6
82,418.9
83,422.4
84,426.1
85,429.8
86,433.8
87,438.1
88,442.6
89,447.6
90,452.6
91,458
92,463.9
93,470.2
94,477.3
95,485.5
96,495.4
97,506.8
98,523.8
99,555.4